Company,Category/Subject,Grade/Age Group,Link,Description,Free Service Offered
Data Nuggets,,,http://datanuggets.org/,"Data Nuggets are free educational resources, co-designed by scientists and educators. The goals of Data Nuggets are to (i) help scientists increase the broader impacts of their research by sharing their science story and data with the public, and (ii) to engage students in the practices of science through an innovative approach that combines scientific content from authentic research with key concepts in data literacy. When using Data Nuggets, students learn about authentic science research projects, and work through an activity featuring real data from a real scientist, providing practice developing explanations about natural phenomena using data from the study.",Always Free
Deafverse,"Intervention Resources, American Sign Language, self-advocacy building, and deaf culture","6th - 8th, High School, Higher Education",https://www.nationaldeafcenter.org/deafverse/,"Deafverse is a choose-your-own-adventure game created just for deaf teenagers. In Duel of the Bots, you get to make own choices, stand up for yourself, and build confidence and skills you can use in real life—even when you don’t have a robot by your side!",
Deck.Toys,,,https://deck.toys/,,We are running a FREE 3-month access to our domain-wide Pro Plan to all schools and institutions in view of COVID-19.
"DeeperDive Learning, Inc.",Resource for Parents,Parents,www.deeperdivelearning.com,"DeeperDive Learning is the creator of FamilyU, a library of short interactive online modules for parents.","To support parents working with their children at home during this time, especially in the area of reading literacy, DeeperDive Learning is making a few of its FamilyU courses available to parents of PK and elementary students. How to Read with Your Child and Building Reading Fluency at Home are both available for free for 2 months to the first 1,000 families that enroll at: https://deeperdivepd.com/"
Defined Learning,,,https://www.definedstem.com/elearning-projects/,Our hands-on projects are based on situations in STEM careers to help learners discover their passions and choose a pathway to a promising future.,A free real-world project at every grade-band.
DeltaMath,,,https://deltamath.com/overview,Delta Math is a free website for teachers and students covering a wide range of math content from middle school through AP Calculus.,Always Free
DemCast,,,https://demcastusa.com/,"We’re a site for left-leaning activism, but we do publish resources like this as well when we come across them.",Always Free. Nonprofit
Designing Differentiated Digital Activity Lists for Students,,,ddal.idecorp.com,,Free website to help teachers craft quality digital learning plans
Desmos,,,teacher.desmos.com,Great online program for math. It provides teachers with a dashboard where you can see student work in real time.,always free
Devie,,,https://deviecoach.com/,"A digital coach that supports parents to help their children grow in the early years. Devie understands parent hopes and challenges, explains relevant concepts in early childhood development, and recommends daily research-based activities parents can do at home with their little ones to keep them occupied, and support their learning.","Because we are in beta, Devie is completely free"
Diamond Piano,Music,ALL,https://diamondpiano.com/,Online piano/music theory lessons,Free online piano/music theory lessons
Dictionary.com,,,https://www.dictionary.com/e/apps/,"Dictionary.com's apps are free for iPhone and Android with more than 2 million definitions and synonyms, spelling and grammar tips, and more.","Writing, spelling, grammar, and more."
Did You Know That?! ASL,"ESL, Foreign Language, Special Education, American Sign Language/Deaf Ed",ALL,https://www.youtube.com/channel/UCwzFvhWOBTnUK5JXX5PHONA,Always educational videos in American Sign Language.,"During the closings, more ASL videos will be added with the addition of comprehension questions and other resources will be added to help ASL teachers."
Digital Media Academy,,,https://schools.digitalmediaacademy.org/teachers/#signupteachers,"An online learning platform with 32 STE(A)M courses that come with lesson plans, instructions, online materials, quizzes, worksheets, and more.","Educators will receive full access to all of these courses at no cost during this global health crisis. Please visit the link below, and shoot an email to george@digitalmediaacademy.org so that I can manually provide the content."
Digital Theatre Plus,,,https://www.digitaltheatreplus.com/education,"Three million students, at over 2,000 academic institutions, in 80+ countries have unlimited access to some of the world's finest productions, unique backstage insights, practitioner interviews and written analysis.",Free during this time
Discover the World Education,,,https://www.discover-the-world.com/study-trips/classroom-resources/,Geography videos and activities,"Range of free videos and teaching resources, particularly focused around Iceland, tectonics and sustainability"
Discovery Education,,,https://www.discoveryeducation.com/coronavirus-response/,Discovery Education Experience is an online K-12 service combining curated curriculum resources with on-demand teaching strategies. Its standards-aligned content is assignable and meets the varying needs of diverse student populations in a safe and secure environment.,Discovery Education Experience
Discovery K12,,,http://discoveryk12.com/dk12/,"Discovery K12 provides a complete online curriculum for pre-k to 12th grade. All main subjects are covered, plus extra curriculum courses.",All of the curriculum if free to use and it is available worldwide.
Discovery Mindblown,Science,"K - 2nd, 3rd - 5th",https://www.discoverymindblown.com,The Discovery Channel offers a website for childern to explore different science subjects,Discovery Mindblown is a source of educational video content to help kids learn about different science topics. The site also provides interactive games and links to mobile science apps for kids.
Ditch That Textbook,,,https://ditchthattextbook.com/elearning-activities/,,
DOG ON A LOG Books,"Reading, Writing, ESL, Early Childhood, Special Education, Intervention Resources, Dyslexia, Struggling Readers, New Readers",ALL,https://dogonalogbooks.com/printables/,,"FREE Printable board games, activities and more for phonics and reading all using evidence-based methods. Can be customized to any student's needs including creating flashcards for other subjects."
Doodles Academy,Fine Arts,1st-5th,http://www.doodles-academy.org,"Doodles Academy is a free art curriculum that is available virtually. It provides art projects that offer authentic art experiences for students -- every student makes their own artistic decisions and walks away from the project with an artwork unique to them. Each project includes video tutorials and thorough lesson plans so that anyone can feel comfortable teaching art, regardless of their background or experience level. More, the art projects are aligned to topics and themes found in literacy, math, social studies, and science, so while students work through an art project they are building knowledge and context around other subjects.","art curriculum, virtually available, with lesson plans and video demos"
Dr Nic's Maths and Stats YouTube channel,Math,"6th - 8th, High School, Higher Education",https://www.youtube.com/channel/UCG32MfGLit1pcqCRXyy9cAg/,"YouTube channel providing sound, engaging videos on statistical concepts",YouTube videos are free to the viewer. The advertisers pay.
Dr. Roger's Math Neighborhood,,,https://www.youtube.com/channel/UCbQoCpvYRYRkRRvsObOPHaA?reload=9,"This is a free online video series with detailed solutions to more than a thousand publicly-released College Board SAT Math, Subject Test Math Level 1, and Subject Test Math Level 2 problems.","Free all the time. No ads, now or ever. No paid product endorsements."
Dream See Do,Interactive Virtual Learning environment + Wellbeing trainings for school staff,"High School, Teachers and School Leaders",https://www.dreamseedo.org/l/school and https://www.dreamseedo.org/l/wellbeings-sel-mindfulness,Dream See Do is an interactive virtual learning and training environment.,"Offering platform usage, and learning design support as well as free trainings for teachers in areas like mindfulness and communities of practice"
DreamBox Learning Math,Math,K-8,www.dreambox.com/at-home,Award winning K-8 online math program that looks at how a student is solving problems to adjust accordingly and build a unique learning path for them.,90 day free trial of DreamBox. Sign up by April 30th.
Dreamscape,,,https://www.squigglepark.com/dreamscape/,"Dreamscape is a free literacy game that can support you and your students during this time with curriculum-aligned, ELA passages and skill-based questions that prepare students for state assessments and end of year exams, while inside or outside of the classroom. The educator dashboards allow you to assign practice questions and track student progress at anytime, from anywhere. All educational content and dashboards are free forever.",Free Educational Tools
DreamWakers,"Math, Reading, Writing, Science, Social Studies, Fine Arts, ESL, Foreign Language, Physical Education, Special Education, STEM",4th-12th grades,https://www.dreamwakers.org/,"DreamWakers is a national nonprofit that connects students to real-world professionals via free video conferencing services. Each virtual session, called a “flashchat,” lasts 45 minutes and is designed to shed light on the real-world applicability of learning, while at the same time empowering students to prepare for personal and professional opportunities.","DreamWakers links entire classrooms directly to exceptional role models working across a variety of industries in the public and private sectors. DreamWakers’ flashchats are free and we do our best to match speakers with the demographic of the students who will be talking with the professional. During this uncertain time, DreamWakers is also offering a number of pre-recorded chats with classrooms and career professionals for educators to share with their students, for free, upon request."
Duolingo,,,https://www.duolingo.com/,Foreign languages,"Always free (paid options, but base content always free)"
Dylexia Academy,,,https://dyslexia-academy.learnworlds.com/,,I have set all the best resources section to free to help as many schools as possible with new and updated resources being added all the time.
Dyslexia Gold,"Reading, Writing, Special Education",K-8th,https://dyslexiagold.co.uk/supportforschools,Dyslexia Gold teaches children to read. Spelling Tutor teaches all children to spell.,Free school license for Dyslexia Gold / Spelling Tutor
EarlyLearn,"Early Childhood, Special Education",K - 2nd,https://www.earlylearn.co.uk,"EarlyYears Software We create independent, objective focused educational games specifically for use by children aged 3-5 in Primary School/Nursery settings. We have a wide range of educational games available which help all kinds of pupils to discover, nurture, train, shape and sharpen their young imaginative minds.",1 month free premium access
Easy Peasy Homeschool,"Math, Reading, Writing, Science, Social Studies, Fine Arts, Foreign Language, Physical Education, Special Education",ALL,https://allinonehomeschool.com/,Reputable free homeschool website ranked as top 100 by Cathy Duffy,Pre School through K -12 free 365 days a year.
EasyCorrect,"Writing, Science, Social Studies, ESL, Foreign Language",All ages that are handing in written assignments digitally.,http://bit.ly/2TRh3Ym,FEEDBACK and ASSESSMENT solutions for WRITTEN ASSIGNMENTS in Word or Google Docs. Help teachers save time and standardise feedback comments.,Free licenses until May 2020 - Sign up through the link to get started right away. - Edword add-in http://bit.ly/2TRh3Ym
EBA,"Math, Reading, Writing, Science, Social Studies, Fine Arts, Foreign Language, Physical Education, Early Childhood, Special Education, STEM, Intervention Resources, Counseling","Early Childhood, K - 2nd, 3rd - 5th, 6th - 8th, High School, Teacher Training",http://www.eba.gov.tr,"EBA is an online personalized content and distance learning platform managed by the Turkish Ministry of National Education’s Directorate General of Innovation and Education Technologies. The purpose of this platform is to ensure the integration of the technology into education by using information technology tools in schools, houses and basically wherever needed, and supporting the effective use of materials. EBA has been re-developed in order to offer suitable, reliable and accurate e-content for all grades supported by smart technologies such as artificial intelligence.","The platform is state-sponsored. It's free and publicly open to all students, teachers, parents enrolled in Turkish K-12 system."
EBLI,,,https://eblireads.com/non-fiction-read-alouds/,Non-Fiction Read Alouds for PreK-12th Graders,Read Alouds w/Reading Tips
Ecoballot,,,https://docs.google.com/document/d/1iL7605H4GdO-kLw9mYhYZdOYxN4mTBZ3ueaYuVZYIe4/edit,,
Econ Ed at the St Louis Fed,"Social Studies, economics, personal finance",ALL,https://www.stlouisfed.org/education,Find hundreds of resources that can be used to teach economics and personal finance to K-12 and college students.,"All of our resources are free, including an online learning management system stocked with over 400 resources for teachers to use in an online or blended classroom setting to teach economics and personal finance."
Econ Lowdown,"Social Studies, economics, personal finance",ALL,https://www.econlowdown.org/,Econ Lowdown is a FREE platform with online courses and videos for K-12 and college classrooms.,FREE online learning management system stocked with over 400 resources in economics and personal finance.
Ecree,,,https://www.ecree.com/,"Ecree provides unlimited, real-time, human quality feedback on the elements of foundational academy writing: argumentation, organization and analysis. Ecree provides the equivalent impact of an expert writing tutor.",Free access to software
EdConnect,,,https://www.edconnect.app/,,
EdCuration.com,"Math, Reading, Writing, Science, Social Studies, Fine Arts, ESL, Foreign Language, Physical Education, Early Childhood, Special Education, STEM, Intervention Resources",ALL,EdCuration.com,Easy to filter your search to find digital resources by content area and grade level,"Two-sided marketplace, making it easy to filter a search and find just what you are needing. you can dialogue with vendors directly through the site. Set up a dashboard to collect notes and favorites. This will save you time."
Edhabit,"Math, Reading, Writing, Science, Social Studies, Fine Arts, ESL, Foreign Language, Physical Education, Early Childhood, Special Education, STEM, Intervention Resources, Counseling",ALL,www.edhabit.com,"Edhabit is an educational resource discovery & sharing site. Think Pinterest for Learning! Discover, Share, Curate great learning resources (e.g. articles, books, videos, online courses )",Always FREE!
edHelper,Math,K-6,https://www.edhelper.com/teacher-education/Daily-Free-Learning-Workbooks-for-Teachers-to-Share-with-Parents-while-Schools-are-Closed-Kids-will-actually-do-these.htm,Workbooks,Free Math Workbooks
Edified (www.edified.com),"Math, Reading, Writing, Science, Social Studies, Fine Arts, ESL, Foreign Language, Physical Education, Early Childhood, Special Education, STEM, Intervention Resources, Counseling",ALL,https://docs.google.com/forms/d/e/1FAIpQLSc9qbGMopMwiyM-lHlwsV_JduY1SJplUqXjOKwjnrKobUCwaw/viewform,Edified is a cloud based LMS teacher training platform with courses on classroom technology and many courses on recording lessons to be delivered remotely,"We are offering free full access to the Edified teacher training LMS through June 30th, 2020 to help train teachers not only on the technology in their classrooms but also on how to record their lessons in multiple formats/platforms so they can be delivered remotely to students. Admins can also track and run reports on teacher progress."
Edify21,,,https://apps.apple.com/us/app/edify21/id1354255937,"A free app that enables teachers and learners to create and share educational content to create, package creatively and share content in document,pdf,you tube and video formats.",Edify21 is a easy to use platform for creating and sharing creative content with groups and individuals.
Edji,"Math, Reading, Writing, Science, Social Studies, Fine Arts, ESL, Foreign Language, Counseling",ALL,Edji.it/edjineer,"Edji.it is a collaborative reading platform allowing students and teachers to read independently or together through audio, text, emoji and other comments. It works on any internet connected device (tablets, Macs, Chromebooks, and even hand-me-down smartphones) and students do not need an email address or account.","Six months, free. Simply complete 20 minute training"
Edmentum,"Math, Reading, Science, Social Studies, ESL, Early Childhood, STEM, Intervention Resources",ALL,https://e.edmentum.com/edmentumsupport2020/,Schools: 2 month free trial Study Island/EdOptions Parents: 1 year free Study Island Home,Online educational technology platform
Edmodo,Learning management system,ALL,https://go.edmodo.com/distancelearning/,"Teachers, students, and parents can use Edmodo to communicate and continue education—always for free—even when in-person learning isn’t possible. Edmodo is a global education network that helps connect all learners with the people and resources needed to reach their full potential. The Edmodo service allows teachers to create a virtual classroom, add lessons, create and give quizzes, assign homework - all in an online environment.","Teachers, students, and parents can use Edmodo to communicate and continue education—always for free—even when in-person learning isn’t possible. Edmodo is a global education network that helps connect all learners with the people and resources needed to reach their full potential. The Edmodo service allows teachers to create a virtual classroom, add lessons, create and give quizzes, assign homework - all in an online environment."
EdPuzzle,,,https://support.edpuzzle.com/hc/en-us/articles/360039805612-Help-for-schools-affected-by-Covid-19,"Edpuzzle is an online platform for remote learning that allows you to make any video your lesson. Connect with students virtually by using YouTube safely and explore our popular channels like TED Talks, National Geographic, Crash Course and Khan Academy, or upload your very own video.",Edpuzzle's basic plan is always free (get storage space up to 20 videos). We're also offering help for any school that's been closed due to the coronavirus. Just fill out this form: https://go.edpuzzle.com/covid-pro.html.
EdReady,,,https://edready.org/home,"EdReady offers a low-stakes knowledge inventory to personalize a learner’s path to math and English mastery within the context of a specific goal, from algebra review, to college readiness and more.",Always free.
EdTechTeam Free On Demand Course Bundle,Tools that can be used across content areas,ALL,https://www.edtechteam.online/distance-learning,EdTechTeam wants to support teachers and school administrators by offering a curated collection of our On Demand Courses to help educators develop the skills and strategies required to implement learning at a distance.,Online On Demand Courses
Edu-Together,,,https://www.edutogether.org/helping?fbclid=IwAR2RuQngF094ImbEZm9nG_imJDu5qXadQGmJDB5UeRAb_TT-tamHIG8zXJE,,
EDUardo Business Simulation,Business Education,Higher Education,https://edu-simulation.com,Online business simulation - suitable for individual e-learning and facilitated courses. Ready-to-use business contents. Customization options.,Starting this week we offer free access to our ready-to-use contents for educators (schools) for 90 days. Contact us with requests!
"Education Associates, Inc.",Special Education,"6th - 8th, High School",https://educationassociates.com/complimentary-curriculum/,Lesson plans for student with special needs-two levels of learning included-for basic hygiene & passive recreation,Ability to download free lesson plans for remainder of school year
Education Galaxy,,,https://educationgalaxy.com/,"Education Galaxy provides award-winning online assessment for students to help prepare them for state testing. Education Galaxy is built 100% to your state standards and provides a highly-engaging and amazingly effective way for students to master all their state standards. Education Galaxy is a great tier 1 solution for practice, instruction, and assessment.",We are offering free services to any school who doesn’t have our program and is experiencing a closure. It will be valid for the remainder of the school year and into the summer.
Education Modified,,,https://www.educationmodified.com/,,We will be offering free subscriptions of our online teacher dashboard to collaborate & support students with special needs.
Education Perfect,,,https://epforlearning.com/2020/ep-response-to-covid-19/,"Education Perfect (EP) is a progressive teaching and learning toolkit for the modern classroom. EP provides a rich library of curriculum-aligned lessons and assessments across the wide range of subject areas. Content is carefully scaffolded to allow all students to independently experience success, while providing rich opportunities for higher order thinking.","EP is actively supporting schools from over 30 countries around the world disrupted by COVID-19. Due to the on-going changing landscape, EP is providing free and unlimited access to all schools until 1st May. Once you have completed the registration form (within link), we will provide you with simple next steps to support you in getting your classes enrolled."
Education Walkthrough,,,https://educationwalkthrough.com,"Education Walkthrough is an all in one tool for administrators to quickly and efficiently observe, evaluate, and document teacher effectiveness. From a beautiful and easy-to-use app, Education Walkthrough has been developed to streamline the observation process and provide immediate and actionable feedback to teachers.",Free version for users with basic functionality to perform a walkthrough. Premium version with shared features for collaboration across a school or district
Education.com,"Math, Reading, Writing, Science, Social Studies, Fine Arts, ESL, Foreign Language, Intervention Resources",PreK-5th,www.education.com,"Our digital resources, tools, and learning materials are developed by educational experts to incorporate leading pedagogical practices. They are useful in any type of teaching moment and many can be used to support national education standards. There is no such thing as ""one size fits all"" in education; each educator and child has unique challenges and goals. We celebrate the diversity of our users by offering differentiated resources that can meet a wide range of educational needs - and raise kids' confidence in learning.","Independent Study Packets: A week’s worth of offline activities tailored to grade levels covering English Language Arts, Math, Science, and Social Studies for K-5. Ready to print or for teachers to email as a PDF to their families. Weeks 2 and 3 are on their way. https://www.education.com/workbooks/independent/

Weekly Boost:Grade specific, educator-curated bundles of resources matched to the school year. The week can be downloaded all at once to make a learning packet. https://www.education.com/weekly-boost

Guided Lessons: Sets of digital games, songs, and stories grouped by key skills. https://www.education.com/games/play"
Educational Insights,"Math, Reading, Writing, Science, Early Childhood, STEM","Early Childhood, K - 2nd, 3rd - 5th",www.educationalinsights.com,"Educational Insights is the creator of award-winning toys and games backed by a playful promise to provide new experiences that ignite passion and fuel kid creativity and imagination. For more than 50 years, our award-winning toys and games have helped kids around the world embrace their originality, celebrate their differences, and pursue their very best selves.","Our team of parents, teachers, and play experts have compiled all of our favorite at-home activities that kids can enjoy on their own or with their parents, from puzzles and coloring pages, to math and reading worksheets."
Educators 4SC,,,educators4sc.org,A website with compilations on how to teach using digital resources and how to teach about various difficult topics are all compiled for teachers to quickly peruse.,
EduCode Academy,Coding Lessons / Computer Science,High School,educode.org,"EduCode™ makes coding and computer science education accessible for kids of all learning styles and backgrounds, on a large scale, without the need for guidance from a teacher. Self-directed courses empower kids to learn coding independently. EduCode's key difference resides in our video micro-lessons, which break down complex computer science concepts into fun and engaging exercises. Rich storylines provide context and motivation throughout the learning journey.",2 months free for all families for their children and teachers for their students.
Eduflow,,,https://www.eduflow.com/?utm_source=covid19email&mc_cid=807ec28728&mc_eid=9f5a85651f,Eduflow allows you to run online courses with things such as peer review and other learning activities.,"Additionally, we have also made our other product Eduflow free for the same duration of time. (Next 4 Months)"
Edulastic,,,https://edulastic.com/blog/covid19/?utm_source=Edulastic+News&utm_campaign=727311df68-EMAIL_CAMPAIGN_2020_03_COVID&utm_medium=email&utm_term=0_1014a46158-727311df68-47709497&mc_cid=727311df68&mc_eid=49dee07599,"Edulastic is an online k-12 assessment tool. It allows teachers to make their own assessments and assignments or choose from over 35,000 pre-made assessments. Teachers get immediate feedback, can provide feedback to students, and can tie questions to learning standards.","Edulastic continues to offer free-forever teacher accounts. In response to COVID-19, we want to make distance learning easier and more accessible to everyone. We are providing the following Premium and Enterprise features for free until July 1, 2020."
eduprintables.com,,,eduprintables.com,"Thousands of free printables, games, quizzes and fun stuff",Free resources for pre-k and elementary school students
Eduscape,,,https://eduscape.com/event/continuityoflearning-webinar/,Eduscape is a STEM based professional development company dedicated to designing and implementing effective solutions for all educators.,"The team of educators at Eduscape have developed a series of webinars to support an effective transition to remote, online teaching that will preserve as much quality and rigor as possible. Whether you have a school-issued learning management system, GSuite, Office 365 or other tool; this webinar can help you plan effective remote instruction."
Elementari,,,https://docs.google.com/forms/d/e/1FAIpQLSdJ1LAywQdwvNKN_SpsypVA48XOaoCTQoGhuaP7e12fgwPnWA/viewform,,
Elephango.com,"Math, Reading, Writing, Science, Social Studies","Early Childhood, K - 2nd, 3rd - 5th, 6th - 8th, High School",https://www.elephango.com/index.cfm/pg/coronavirus,"All-subject, K-12, Curriculum companion site that allows teachers to assign students lessons to complete. Lessons are designed to be completed at home.",Free School Subscription
Emergent Expressions,,,https://www.emergentexpressions.com/,Emergent Expressions offers family-centered educational services through virtual parent coaching for families with children ages 3-10. Support services are specialized and ideal for families with children with special needs.,Pay-what-you-can (or nothing) services for all families affected by school closures and other COVID-19 related hardships
Emile,,,https://www.emile-education.com/schools-corona-virus/,,
Empatico,,,https://empatico.org/,"Empatico is a free tool for educators of students ages 6-11 to connect their classrooms with others around the world. It is an all-in-one platform that has everything you need to virtually connect: live video, file sharing, a partner classroom, and activities. Great for schools that may still be in session or ones that might have had to cancel planned field trips - it is a way to connect with other classrooms around the world without having to leave the four walls of the building!",It is also 100% free and always has been.
Enable My Child,,,www.enablemychild.com/schools,"Enable My Child is a HIPAA compliant tetetherapy platform made for schools. In these challenging times, we're providing free access to our platform.","Enable My Child is a HIPAA compliant tetetherapy platform made for schools. In these challenging times, we're providing free access to our platform."
Encantos Learning,"Reading, Social Studies, ESL, Early Childhood, Bilingual",Early Childhood,http://www.encantosbrands.com/learning,"Free educational resources to enrich children's early childhood bilingual learning from Canticos and geography, language, cultural and history from Tiny Travelers",Bilingual learning video lessons plus related downloadable activities
Enchanted Learning,,,http://www.EnchantedLearning.com,"The Enchanted Learning website has over 35,000 K-12 pages (with a focus on elementary school) covering a wide range of topics -- information pages, printable worksheets, crafts, coloring pages, etc.",We are providing temporary free subscriptions to teachers whose school is closed due to the coronavirus outbreak.
Energy: A Multidisciplinary Approach for Teachers,Science,High School,https://bscs.org/resources/educator-resource-center/energy-a-multidisciplinary-approach-for-teachers-emat,"EMAT, an online course, helps teachers frame complex energy concepts in a way that will resonate with high school students and prepare them to participate in important societal conversations.",Professional learning for high school science teachers.
English52,,,Www.english52.com,,Free English course
Enilda Clinic,,,https://www.enildaclinic.com/learning,Child behavior and development information related to education and psychology is available in learning video format. Specific strategies to help with school closings is being posted.,"Specific strategies to help families cope with school closures related to COVID-19 as it relates to behavior, child and parent stress, anxiety, keeping up education routines, etc. All brief videos are hosted by a child psychologist."
Epraise,,,https://www.epraise.co.uk/index.php?view=announcements,,Epraise will be offering 30 days free access to our platform including our Homework and Messenger optional features to ensure schools can stay connected in the event that they have to close.
ESL Library,,,https://esllibrary.com/blog/coronavirus-support,,"We are offering Plus subscriptions to all Standard users, and our printable lessons on Pandemics and The Coronavirus are also currently free for non-members."
eSpark,"Math, Reading",K-5,https://www.esparklearning.com/,eSpark differentiates instruction in reading and math with activities kids love.,"Teachers can sign up for a free account of eSpark to use through the end of this year at https://www.esparklearning.com/. eSpark can be used at home and is a great way for students to continue to independently learn math and reading standards at a level that’s right for them, even if they’re not in the classroom."
EssayJack,Writing,"6th - 8th, High School, Higher Education",https://www.essayjack.com/for-students,"Students can practice essay writing through our smart templates. Templates guide writing using tips, prompts, interrogative q's. Can be used by students independently. If educators are interested to use it teaching writing remotely for their classes they can get in touch with us here hello@essayjack.com. We can set up access for them and their students. (https://www.essayjack.com/for-educators)","Free access to EssayJack, all our writing templates, and additional writing activities and modules we are putting together. All developed by our founder/CEO Dr. Lindy (former English Professor at UofT)."
Eureka Math,Math,"K - 2nd, 3rd - 5th, 6th - 8th, High School",https://gm.greatminds.org/en-us/knowledgeonthego,"Knowledge-building resources, written materials for math (Grades K–12) and daily instructional videos.","We are providing knowledge-building resources and written materials for math (Grades K–12) and daily instructional videos for English language arts (Grades K–8), math (Grades K-12), and science (Grades 3–5). We will post new video lessons and update our content daily. All can be found here: https://hubs.ly/H0nHh1F0."
EverFi,,,https://platform.everfi.net/new_registration?role=teacher,"EVERFI’s no-cost digital resources cover topics such as social emotional laerning, STEM, financial literacy, career readiness, and health & wellness. Our student-driven, standards-aligned resources have assessments embedded into them, enabling teachers to see measurable outcomes from student work in real-time. Teachers can create an account and set up their classes in less than 5 minutes.",EVERFI resources are and always will be free for teachers to use.
Everydae SAT Prep,,,https://everydae.com/?utm_source=resource_sheet&utm_medium=spreadsheet&utm_campaign=school_closures,Everydae is the online SAT math prep program that teenagers actually want to use. 10-minute micro lessons match busy schedules. Built by industry experts. 17+ years industry experience.,100% free while schools are closed! (normally $19/mo). Tell your students to use the code HOMEPREP and sign up through this link http://bit.ly/2xrVchc.
Everyday Earth,,,https://www.everyday-earth.com/,Everyday Earth is an interactive video earth science based curriculum supplement.,It is completely free.
Exam.net,Digital exam platform,ALL,https://exam.net,"Digital exams online. No installations. Blocks computer access, copypaste etc. With or without webcam surveillance. (https://support.exam.net/#/remote).",Full premium service for free during 2020.
ExerciseBuddy,,,www.exercisebuddy.com,"Autism and Special Needs Exercise App. Supported in research and used by universities, parents and professionals around the world.",The Free trial period has been extended to both schools and parents during these difficult times.
ExloreLearning Reflex,,,https://www.reflexmath.com/trial,"Adaptive and individualized for grades 2-6, Reflex is the most effective system for mastering basic math facts in addition, subtraction, multiplication and division.",Free 30-day trial. Schools impacted by COVID-19 may receive extended pilots for support during this time.
Explain Everything,,,https://twitter.com/explainevrythng/status/1237412347712593922,,
ExploreLearning Gizmos,,,https://www.explorelearning.com/index.cfm?method=Controller.dspFreeAccount&_ga=2.32190458.558305376.1569190470-443864285.1556293744,Gizmos are online simulations that excite curiosity and invite interaction. We’ve got over 400 Gizmos in our library covering topics and concepts in math and science for grades 3-12. Gizmos help students dig deeper into subjects and really understand challenging concepts.,Gizmos free accounts feature 30+ free Gizmos after your full-access trial is completed. Schools impacted by COVID-19 may receive extended pilots for support during this time.
ExploreLearning Science4Us,,,https://www.science4us.com/trial/,"Science4Us covers Inquiry, Physical Science, Life Science and Earth & Space Science with lessons specifically designed for K-2 students. The sessions have 1000’s of online and offline activities that can be completed in as little as ten minutes, and teach students using videos, interaction, poems, songs, and digital notebooks.",Free 30-day trial. Schools impacted by COVID-19 may receive extended pilots for support during this time.
Exploring Nature Educational Resource,"Science, STEM",ALL,www.exploringnature.org,"¬¬ExploringNature.org is a science education website with more than 6,000 pages of illustrated Life Science, Earth Science, Physical Science, Biology, Anatomy, Ecology resources for K-12. Subscribers can access science content, activities, investigations, posters, diagrams, worksheets, testing and Next Generation Science Standard integration. Our science store also sells picture books, posters, flip charts, science kits, and downloadable bundles.","Most resources can be accessed without a subscription, but email for a FREE 30-day trial any time as well."
Exponent,STEM,Higher Education,tryexponent.com,We're partnering with career services departments at universities to offer our tech interview prep courses free for all students - just connect us to the career services department!,Free online interview prep course and community for tech roles
FabuLingua,"Reading, ESL, Foreign Language, Special Education","Early Childhood, K - 2nd, 3rd - 5th",www.fabulingua.com,"FabuLingua teaches Spanish through magical interactive stories on mobile phones and tablets. Its unique method is designed to introduce the new language in a way that subconsciously develops the child’s ear, comprehension and reading skills. This approach leads to a more natural wiring of the brain to the new language in a way that is effective but feels effortless (and fun!). FabuLingua adds a new charming interactive story from Latin America or Spain every month, along with associated games and a Magic Sticker Book where kids get to create their own compositions!",FabuLingua is suspending their subscription services and providing their entire platform for free to all families and schools while schools are closed. Simply download it from the App Store or Google play.
Facing History,,,https://www.facinghistory.org/,"Collection of educator resources includes a wide range of flexible, multimedia materials, from primary sources and streaming videos to teaching strategies, lesson plans, and full units. There are resources that will support students' learning, whether you are teaching a complex moment in history or addressing today's breaking news.",All resources free with creation of online account
Facts4Me,,,www.facts4me.com,"A safe research site for elementary-level readers. Social Studies and Science, especially Grades 1-5","They are offering -- free 24/7 access to our site to ANYONE who may find it helpful.
www.facts4me.com
USERNAME: read (case sensitive)
PASSWORD: read (case sensitive)
Expiration date: 04/04/2020"
FamilyBookform.com,"Writing, Social Studies, Foreign Language","6th - 8th, High School",https://familybookform.com/,Students interview family to collect oral life stories into books.,"Free signup to create a Collaborative Class book; includes template, 2 hrs speech-to-text, contributions from up to 300 students, collates all content into a printable digital book."
Farm 123 - Learn to count from StoryToys,"Math, Early Childhood",Early Childhood,https://apps.apple.com/app/apple-store/id526322778?mt=8,"Professionally designed with toddlers and pre-schoolers in mind, Farm 123 pays special attention to learning reinforcement through the introduction of gently progressive games that help your child cement their grasp of the numbers 1 to 10 and the core concept of sorting.",App was made completely Free for anyone
FeedbackFruits,All category/subject,Higher Education,https://feedbackfruits.com/covid-19,"8 free pedagogical tools to make online courses engaging. Instructor can add practice questions or start discussions on any study material whether it is a video, a presentation or a document. All tools are integrated into LMS and support automatic grading. Students are able to interact with each other as well to drive peer learning.",All FeedbackFruits' tools are available for free to every higher education institution in need.
Felt With Love Designs,Fine Arts,ALL,https://www.feltwithlovedesigns.com/category/free-patterns/,Lots of free sewing patterns and tips to learn to sew!,Free sewing patterns to download
